time	x	y	pressure	tiltX	tiltY	azimuth	sidePressure	rotation
319.137747670	779	288	0	0	0	0	0	0
319.155073440	783	289	0	0	0	0	0	0
319.172399210	786	290	0	0	0	0	0	0
319.189724980	790	291	0	0	0	0	0	0
319.207050750	794	291	0	0	0	0	0	0
319.224376520	797	293	0	0	0	0	0	0
319.241702290	801	294	0	0	0	0	0	0
319.259028060	805	296	0	0	0	0	0	0
319.276353830	808	297	0	0	0	0	0	0
Pause
320.276353830	808	297	0	0	0	0	0	0
320.293679600	812	297	0	0	0	0	0	0
320.311005370	815	298	0	0	0	0	0	0
320.328331140	819	300	0	0	0	0	0	0
320.345656910	823	301	0	0	0	0	0	0
320.362982680	826	302	0	0	0	0	0	0
320.380308450	830	304	0	0	0	0	0	0
320.397634220	834	306	0	0	0	0	0	0
320.414959990	837	307	0	0	0	0	0	0
320.432285760	841	308	0	0	0	0	0	0
320.449611530	844	311	0	0	0	0	0	0
320.466937300	847	313	0	0	0	0	0	0
320.484263070	850	314	0	0	0	0	0	0
320.501588840	854	315	0	0	0	0	0	0
Pause
321.501588840	854	315	0	0	0	0	0	0
321.518914610	854	318	0	0	0	0	0	0
321.536240380	858	319	0	0	0	0	0	0
321.553566150	861	321	0	0	0	0	0	0
321.570891920	865	322	0	0	0	0	0	0
321.588217690	869	323	0	0	0	0	0	0
321.605543460	872	325	0	0	0	0	0	0
321.622869230	876	326	0	0	0	0	0	0
321.640195000	880	327	0	0	0	0	0	0
321.657520770	883	329	0	0	0	0	0	0
321.674846540	887	331	0	0	0	0	0	0
321.692172310	890	332	0	0	0	0	0	0
321.709498080	894	334	0	0	0	0	0	0
321.726823850	897	335	0	0	0	0	0	0
Pause
322.726823850	897	335	0	0	0	0	0	0
322.744149620	896	337	0	0	0	0	0	0
322.761475390	892	337	0	0	0	0	0	0
322.778801160	888	336	0	0	0	0	0	0
322.796126930	884	335	0	0	0	0	0	0
322.813452700	881	334	0	0	0	0	0	0
322.830778470	877	333	0	0	0	0	0	0
322.848104240	873	331	0	0	0	0	0	0
322.865430010	869	330	0	0	0	0	0	0
322.882755780	866	329	0	0	0	0	0	0
322.900081550	862	327	0	0	0	0	0	0
322.917407320	859	325	0	0	0	0	0	0
322.934733090	855	323	0	0	0	0	0	0
322.952058860	852	322	0	0	0	0	0	0
Pause
323.952058860	852	322	0	0	0	0	0	0
323.969384630	848	321	0	0	0	0	0	0
323.986710400	844	319	0	0	0	0	0	0
324.004036170	841	317	0	0	0	0	0	0
324.021361940	837	315	0	0	0	0	0	0
324.038687710	834	314	0	0	0	0	0	0
324.056013480	830	312	0	0	0	0	0	0
324.073339250	826	310	0	0	0	0	0	0
324.090665020	823	309	0	0	0	0	0	0
324.107990790	819	307	0	0	0	0	0	0
324.125316560	815	306	0	0	0	0	0	0
324.142642330	811	305	0	0	0	0	0	0
324.159968100	808	303	0	0	0	0	0	0
324.177293870	804	302	0	0	0	0	0	0
Pause
325.177293870	804	302	0	0	0	0	0	0
325.194619640	800	301	0	0	0	0	0	0
325.211945410	797	300	0	0	0	0	0	0
325.229271180	793	298	0	0	0	0	0	0
325.246596950	789	297	0	0	0	0	0	0
325.263922720	785	297	0	0	0	0	0	0
325.281248490	781	296	0	0	0	0	0	0
325.298574260	778	295	0	0	0	0	0	0
325.315900030	774	294	0	0	0	0	0	0
325.333225800	770	293	0	0	0	0	0	0
325.350551570	767	291	0	0	0	0	0	0
325.367877340	763	290	0	0	0	0	0	0
325.385203110	759	289	0	0	0	0	0	0
325.402528880	756	289	0	0	0	0	0	0
Pause
326.402528880	756	289	0	0	0	0	0	0
326.419854650	752	286	0	0	0	0	0	0
326.437180420	748	286	0	0	0	0	0	0
326.454506190	744	285	0	0	0	0	0	0
326.471831960	741	283	0	0	0	0	0	0
326.489157730	737	282	0	0	0	0	0	0
326.506483500	733	282	0	0	0	0	0	0
326.523809270	730	281	0	0	0	0	0	0
326.541135040	726	281	0	0	0	0	0	0
326.558460810	723	280	0	0	0	0	0	0
326.575786580	721	279	0	0	0	0	0	0
326.593112350	717	279	0	0	0	0	0	0
326.610438120	713	278	0	0	0	0	0	0
326.627763890	710	277	0	0	0	0	0	0
Pause
327.627763890	710	277	0	0	0	0	0	0
327.645089660	706	276	0	0	0	0	0	0
327.662415430	702	276	0	0	0	0	0	0
327.679741200	698	276	0	0	0	0	0	0
327.697066970	694	275	0	0	0	0	0	0
327.714392740	690	275	0	0	0	0	0	0
327.731718510	686	274	0	0	0	0	0	0
327.749044280	682	274	0	0	0	0	0	0
327.766370050	678	274	0	0	0	0	0	0
327.783695820	675	274	0	0	0	0	0	0
327.801021590	671	273	0	0	0	0	0	0
327.818347360	667	272	0	0	0	0	0	0
327.835673130	663	273	0	0	0	0	0	0
327.852998900	659	273	0	0	0	0	0	0
Pause
328.852998900	659	273	0	0	0	0	0	0
328.870324670	655	273	0	0	0	0	0	0
328.887650440	651	273	0	0	0	0	0	0
328.904976210	648	272	0	0	0	0	0	0
328.922301980	644	271	0	0	0	0	0	0
328.939627750	640	271	0	0	0	0	0	0
328.956953520	636	271	0	0	0	0	0	0
328.974279290	632	271	0	0	0	0	0	0
328.991605060	628	271	0	0	0	0	0	0
329.008930830	624	271	0	0	0	0	0	0
329.026256600	620	271	0	0	0	0	0	0
329.043582370	616	271	0	0	0	0	0	0
329.060908140	612	271	0	0	0	0	0	0
329.078233910	608	271	0	0	0	0	0	0
Pause
330.078233910	608	271	0	0	0	0	0	0
330.095559680	610	273	0	0	0	0	0	0
330.112885450	606	273	0	0	0	0	0	0
330.130211220	602	273	0	0	0	0	0	0
330.147536990	598	273	0	0	0	0	0	0
330.164862760	594	273	0	0	0	0	0	0
330.182188530	591	274	0	0	0	0	0	0
330.199514300	587	274	0	0	0	0	0	0
330.216840070	583	274	0	0	0	0	0	0
330.234165840	579	275	0	0	0	0	0	0
330.251491610	575	275	0	0	0	0	0	0
330.268817380	571	276	0	0	0	0	0	0
330.286143150	567	276	0	0	0	0	0	0
330.303468920	564	277	0	0	0	0	0	0
Pause
331.303468920	564	277	0	0	0	0	0	0
331.320794690	560	277	0	0	0	0	0	0
331.338120460	556	278	0	0	0	0	0	0
331.355446230	553	278	0	0	0	0	0	0
331.372772000	549	278	0	0	0	0	0	0
331.390097770	547	279	0	0	0	0	0	0
331.407423540	543	279	0	0	0	0	0	0
331.424749310	542	280	0	0	0	0	0	0
331.442075080	538	280	0	0	0	0	0	0
331.459400850	536	281	0	0	0	0	0	0
331.476726620	533	282	0	0	0	0	0	0
331.494052390	529	282	0	0	0	0	0	0
331.511378160	527	283	0	0	0	0	0	0
331.528703930	525	283	0	0	0	0	0	0
Pause
332.528703930	525	283	0	0	0	0	0	0
332.546029700	521	284	0	0	0	0	0	0
332.563355470	519	285	0	0	0	0	0	0
332.580681240	516	286	0	0	0	0	0	0
332.598007010	512	286	0	0	0	0	0	0
332.615332780	511	288	0	0	0	0	0	0
332.632658550	507	288	0	0	0	0	0	0
332.649984320	503	289	0	0	0	0	0	0
332.667310090	499	289	0	0	0	0	0	0
332.684635860	495	290	0	0	0	0	0	0
332.701961630	491	291	0	0	0	0	0	0
332.719287400	487	293	0	0	0	0	0	0
332.736613170	484	294	0	0	0	0	0	0
332.753938940	480	295	0	0	0	0	0	0
Pause
333.753938940	480	295	0	0	0	0	0	0
333.771264710	476	297	0	0	0	0	0	0
333.788590480	473	298	0	0	0	0	0	0
333.805916250	469	299	0	0	0	0	0	0
333.823242020	465	301	0	0	0	0	0	0
333.840567790	461	302	0	0	0	0	0	0
333.857893560	458	304	0	0	0	0	0	0
333.875219330	454	305	0	0	0	0	0	0
333.892545100	451	307	0	0	0	0	0	0
333.909870870	447	309	0	0	0	0	0	0
333.927196640	443	311	0	0	0	0	0	0
333.944522410	440	312	0	0	0	0	0	0
333.961848180	436	314	0	0	0	0	0	0
333.979173950	433	315	0	0	0	0	0	0
Pause
334.979173950	433	315	0	0	0	0	0	0
334.996499720	431	317	0	0	0	0	0	0
335.013825490	428	319	0	0	0	0	0	0
335.031151260	425	320	0	0	0	0	0	0
335.048477030	421	322	0	0	0	0	0	0
335.065802800	417	323	0	0	0	0	0	0
335.083128570	416	326	0	0	0	0	0	0
335.100454340	412	326	0	0	0	0	0	0
335.117780110	410	328	0	0	0	0	0	0
335.135105880	407	331	0	0	0	0	0	0
335.152431650	404	334	0	0	0	0	0	0
335.169757420	400	336	0	0	0	0	0	0
335.187083190	397	337	0	0	0	0	0	0
335.204408960	393	338	0	0	0	0	0	0
Pause
336.204408960	393	338	0	0	0	0	0	0
336.221734730	392	341	0	0	0	0	0	0
336.239060500	388	341	0	0	0	0	0	0
336.256386270	386	344	0	0	0	0	0	0
336.273712040	383	346	0	0	0	0	0	0
336.291037810	381	349	0	0	0	0	0	0
336.308363580	377	351	0	0	0	0	0	0
336.325689350	374	353	0	0	0	0	0	0
336.343015120	370	355	0	0	0	0	0	0
336.360340890	369	357	0	0	0	0	0	0
336.377666660	366	360	0	0	0	0	0	0
336.394992430	363	362	0	0	0	0	0	0
336.412318200	360	365	0	0	0	0	0	0
336.429643970	358	367	0	0	0	0	0	0
Pause
337.429643970	358	367	0	0	0	0	0	0
337.446969740	355	370	0	0	0	0	0	0
337.464295510	352	373	0	0	0	0	0	0
337.481621280	349	376	0	0	0	0	0	0
337.498947050	346	378	0	0	0	0	0	0
337.516272820	343	381	0	0	0	0	0	0
337.533598590	340	384	0	0	0	0	0	0
337.550924360	337	386	0	0	0	0	0	0
337.568250130	334	389	0	0	0	0	0	0
337.585575900	331	391	0	0	0	0	0	0
337.602901670	328	394	0	0	0	0	0	0
337.620227440	325	397	0	0	0	0	0	0
337.637553210	323	400	0	0	0	0	0	0
337.654878980	320	403	0	0	0	0	0	0
Pause
338.654878980	320	403	0	0	0	0	0	0
338.672204750	318	406	0	0	0	0	0	0
338.689530520	315	409	0	0	0	0	0	0
338.706856290	312	412	0	0	0	0	0	0
338.724182060	309	414	0	0	0	0	0	0
338.741507830	306	417	0	0	0	0	0	0
338.758833600	303	420	0	0	0	0	0	0
338.776159370	300	422	0	0	0	0	0	0
338.793485140	297	425	0	0	0	0	0	0
338.810810910	294	427	0	0	0	0	0	0
338.828136680	291	430	0	0	0	0	0	0
338.845462450	288	432	0	0	0	0	0	0
338.862788220	284	434	0	0	0	0	0	0
338.880113990	281	435	0	0	0	0	0	0
Pause
339.880113990	635	401	0	0	0	0	0	0
339.897439760	631	399	0	0	0	0	0	0
339.914765530	627	398	0	0	0	0	0	0
339.932091300	623	397	0	0	0	0	0	0
339.949417070	619	396	0	0	0	0	0	0
339.966742840	615	396	0	0	0	0	0	0
339.984068610	611	396	0	0	0	0	0	0
340.001394380	610	394	0	0	0	0	0	0
340.018720150	607	394	0	0	0	0	0	0
340.036045920	603	393	0	0	0	0	0	0
340.053371690	599	393	0	0	0	0	0	0
340.070697460	595	392	0	0	0	0	0	0
340.088023230	592	391	0	0	0	0	0	0
340.105349000	588	391	0	0	0	0	0	0
340.122674770	587	391	0	0	0	0	0	0
Pause
341.122674770	587	391	0	0	0	0	0	0
341.140000540	583	390	0	0	0	0	0	0
341.157326310	579	389	0	0	0	0	0	0
341.174652080	575	389	0	0	0	0	0	0
341.191977850	571	388	0	0	0	0	0	0
341.209303620	568	388	0	0	0	0	0	0
341.226629390	564	387	0	0	0	0	0	0
341.243955160	560	386	0	0	0	0	0	0
341.261280930	556	385	0	0	0	0	0	0
341.278606700	552	385	0	0	0	0	0	0
341.295932470	548	385	0	0	0	0	0	0
341.313258240	544	384	0	0	0	0	0	0
341.330584010	540	383	0	0	0	0	0	0
341.347909780	536	383	0	0	0	0	0	0
341.365235550	536	383	0	0	0	0	0	0
Pause
342.365235550	536	383	0	0	0	0	0	0
342.382561320	532	382	0	0	0	0	0	0
342.399887090	528	382	0	0	0	0	0	0
342.417212860	524	382	0	0	0	0	0	0
342.434538630	520	382	0	0	0	0	0	0
342.451864400	516	381	0	0	0	0	0	0
342.469190170	512	381	0	0	0	0	0	0
342.486515940	508	381	0	0	0	0	0	0
342.503841710	505	380	0	0	0	0	0	0
342.521167480	502	379	0	0	0	0	0	0
342.538493250	498	379	0	0	0	0	0	0
342.555819020	494	380	0	0	0	0	0	0
342.573144790	490	380	0	0	0	0	0	0
342.590470560	486	380	0	0	0	0	0	0
342.607796330	485	380	0	0	0	0	0	0
Pause
343.607796330	485	380	0	0	0	0	0	0
343.625122100	481	380	0	0	0	0	0	0
343.642447870	477	380	0	0	0	0	0	0
343.659773640	473	380	0	0	0	0	0	0
343.677099410	469	380	0	0	0	0	0	0
343.694425180	465	380	0	0	0	0	0	0
343.711750950	464	379	0	0	0	0	0	0
343.729076720	468	378	0	0	0	0	0	0
343.746402490	472	378	0	0	0	0	0	0
343.763728260	476	379	0	0	0	0	0	0
